congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
114,Senate,328,2015-12-03,1,328,46,53,0.123,-0.089,0.461,0.043,-0.996,HR3762,Motion Rejected,"To protect victims of violence or disease, veterans, workers who have lost their health insurance and their jobs, and other vulnerable populations from the repeal of the advanced premium tax credit.",On the Motion,
114,Senate,329,2015-12-03,1,329,52,47,0.162,-0.084,-0.431,-0.305,-2.417,HR3762,Bill Passed,A bill to provide for reconciliation pursuant to section 2002 of the concurrent resolution on the budget for fiscal year 2016.,On Passage of the Bill,
114,Senate,330,2015-12-03,1,330,77,22,0.015,-0.757,-0.02,-0.316,-48.939,HR22,Motion Agreed to,"An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",On the Motion,
114,Senate,331,2015-12-03,1,331,83,16,0.681,-0.049,0.179,0.041,-27.136,HR22,Conference Report Agreed to,"An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",On the Conference Report,
114,Senate,332,2015-12-07,1,332,89,0,0.0,0.0,0.0,0.0,0.0,PN18,Nomination Confirmed,"Travis Randall McDonough, of Tennessee, to be United States District Judge for the Eastern District of Tennessee",On the Nomination,
114,Senate,333,2015-12-08,1,333,84,12,0.588,0.149,0.348,0.734,-16.879,S1177,Cloture Motion Agreed to,An original bill to reauthorize the Elementary and Secondary Education Act of 1965 to ensure that every child achieves.,On the Cloture Motion,
114,Senate,334,2015-12-09,1,334,85,12,0.595,0.104,0.342,0.594,-16.127,S1177,Conference Report Agreed to,An original bill to reauthorize the Elementary and Secondary Education Act of 1965 to ensure that every child achieves.,On the Conference Report,
114,Senate,335,2015-12-14,1,335,45,34,0.238,-0.044,0.245,0.047,-13.092,PN64,Nomination Confirmed,"Alissa M. Starzak, of New York, to be General Counsel of the Department of the Army",On the Nomination,
114,Senate,336,2015-12-18,1,336,72,26,0.499,0.048,0.141,0.32,-36.491,HR2029,Cloture Motion Agreed to,"A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.",On the Cloture Motion,
114,Senate,337,2015-12-18,1,337,31,67,0.453,-0.062,-0.155,-0.243,-35.541,HR2029,Motion to Table Failed,"A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.",On the Motion to Table,
114,Senate,338,2015-12-18,1,338,73,25,0.338,0.656,0.052,0.194,-50.487,HR2029,Motion Agreed to,"A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.",On the Motion,
